Ticker,Sector,Industry
MMM,Industrials,Conglomerates
AOS,Industrials,Specialty Industrial Machinery
ABT,Healthcare,Medical Devices
ABBV,Healthcare,Drug Manufacturers - General
ACN,Technology,Information Technology Services
ADBE,Technology,Software - Application
AMD,Technology,Semiconductors
AES,Utilities,Utilities - Diversified
AFL,Financial Services,Insurance - Life
A,Healthcare,Diagnostics & Research
APD,Basic Materials,Specialty Chemicals
ABNB,Consumer Cyclical,Travel Services
AKAM,Technology,Software - Infrastructure
ALB,Basic Materials,Specialty Chemicals
ARE,Real Estate,REIT - Office
ALGN,Healthcare,Medical Instruments & Supplies
ALLE,Industrials,Security & Protection Services
LNT,Utilities,Utilities - Regulated Electric
ALL,Financial Services,Insurance - Property & Casualty
GOOGL,Communication Services,Internet Content & Information
GOOG,Communication Services,Internet Content & Information
MO,Consumer Defensive,Tobacco
AMZN,Consumer Cyclical,Internet Retail
AMCR,Consumer Cyclical,Packaging & Containers
AEE,Utilities,Utilities - Regulated Electric
AEP,Utilities,Utilities - Regulated Electric
AXP,Financial Services,Credit Services
AIG,Financial Services,Insurance - Diversified
AMT,Real Estate,REIT - Specialty
AWK,Utilities,Utilities - Regulated Water
AMP,Financial Services,Asset Management
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers - General
APH,Technology,Electronic Components
ADI,Technology,Semiconductors
ANSS,Technology,Software - Application
AON,Financial Services,Insurance Brokers
APA,Energy,Oil & Gas E&P
APO,Financial Services,Asset Management
AAPL,Technology,Consumer Electronics
AMAT,Technology,Semiconductor Equipment & Materials
APTV,Consumer Cyclical,Auto Parts
ACGL,Financial Services,Insurance - Diversified
ADM,Consumer Defensive,Farm Products
ANET,Technology,Computer Hardware
AJG,Financial Services,Insurance Brokers
AIZ,Financial Services,Insurance - Property & Casualty
T,Communication Services,Telecom Services
ATO,Utilities,Utilities - Regulated Gas
ADSK,Technology,Software - Application
ADP,Technology,Software - Application
AZO,Consumer Cyclical,Specialty Retail
AVB,Real Estate,REIT - Residential
AVY,Consumer Cyclical,Packaging & Containers
AXON,Industrials,Aerospace & Defense
BKR,Energy,Oil & Gas Equipment & Services
BALL,Consumer Cyclical,Packaging & Containers
BAC,Financial Services,Banks - Diversified
BAX,Healthcare,Medical Instruments & Supplies
BDX,Healthcare,Medical Instruments & Supplies
BRK.B,Financial Services,Insurance - Diversified
BBY,Consumer Cyclical,Specialty Retail
TECH,Healthcare,Biotechnology
BIIB,Healthcare,Drug Manufacturers - General
BLK,Financial Services,Asset Management
BX,Financial Services,Asset Management
BK,Financial Services,Banks - Diversified
BA,Industrials,Aerospace & Defense
BKNG,Consumer Cyclical,Travel Services
BWA,Consumer Cyclical,Auto Parts
BSX,Healthcare,Medical Devices
BMY,Healthcare,Drug Manufacturers - General
AVGO,Technology,Semiconductors
BR,Technology,Information Technology Services
BRO,Financial Services,Insurance Brokers
BF.B,Consumer Defensive,Beverages - Wineries & Distilleries
BLDR,Industrials,Building Products & Equipment
BG,Consumer Defensive,Farm Products
BXP,Real Estate,REIT - Office
CHRW,Industrials,Integrated Freight & Logistics
CDNS,Technology,Software - Application
CZR,Consumer Cyclical,Resorts & Casinos
CPT,Real Estate,REIT - Residential
CPB,Consumer Defensive,Packaged Foods
COF,Financial Services,Credit Services
CAH,Healthcare,Medical Distribution
KMX,Consumer Cyclical,Auto & Truck Dealerships
CCL,Consumer Cyclical,Travel Services
CARR,Industrials,Building Products & Equipment
CAT,Industrials,Farm & Heavy Construction Machinery
CBOE,Financial Services,Financial Data & Stock Exchanges
CBRE,Real Estate,Real Estate Services
CDW,Technology,Information Technology Services
CE,Basic Materials,Chemicals
COR,Healthcare,Medical Distribution
CNC,Healthcare,Healthcare Plans
CNP,Utilities,Utilities - Regulated Electric
CF,Basic Materials,Agricultural Inputs
CRL,Healthcare,Diagnostics & Research
SCHW,Financial Services,Capital Markets
CHTR,Communication Services,Telecom Services
CVX,Energy,Oil & Gas Integrated
CMG,Consumer Cyclical,Restaurants
CB,Financial Services,Insurance - Property & Casualty
CHD,Consumer Defensive,Household & Personal Products
CI,Healthcare,Healthcare Plans
CINF,Financial Services,Insurance - Property & Casualty
CTAS,Industrials,Specialty Business Services
CSCO,Technology,Communication Equipment
C,Financial Services,Banks - Diversified
CFG,Financial Services,Banks - Regional
CLX,Consumer Defensive,Household & Personal Products
CME,Financial Services,Financial Data & Stock Exchanges
CMS,Utilities,Utilities - Regulated Electric
KO,Consumer Defensive,Beverages - Non-Alcoholic
CTSH,Technology,Information Technology Services
CL,Consumer Defensive,Household & Personal Products
CMCSA,Communication Services,Telecom Services
CAG,Consumer Defensive,Packaged Foods
COP,Energy,Oil & Gas E&P
ED,Utilities,Utilities - Regulated Electric
STZ,Consumer Defensive,Beverages - Brewers
CEG,Utilities,Utilities - Renewable
COO,Healthcare,Medical Instruments & Supplies
CPRT,Industrials,Specialty Business Services
GLW,Technology,Electronic Components
CPAY,Technology,Software - Infrastructure
CTVA,Basic Materials,Agricultural Inputs
CSGP,Real Estate,Real Estate Services
COST,Consumer Defensive,Discount Stores
CTRA,Energy,Oil & Gas E&P
CRWD,Technology,Software - Infrastructure
CCI,Real Estate,REIT - Specialty
CSX,Industrials,Railroads
CMI,Industrials,Specialty Industrial Machinery
CVS,Healthcare,Healthcare Plans
DHR,Healthcare,Diagnostics & Research
DRI,Consumer Cyclical,Restaurants
DVA,Healthcare,Medical Care Facilities
DAY,Technology,Software - Application
DECK,Consumer Cyclical,Footwear & Accessories
DE,Industrials,Farm & Heavy Construction Machinery
DELL,Technology,Computer Hardware
DAL,Industrials,Airlines
DVN,Energy,Oil & Gas E&P
DXCM,Healthcare,Medical Devices
FANG,Energy,Oil & Gas E&P
DLR,Real Estate,REIT - Specialty
DFS,Financial Services,Credit Services
DG,Consumer Defensive,Discount Stores
DLTR,Consumer Defensive,Discount Stores
D,Utilities,Utilities - Regulated Electric
DPZ,Consumer Cyclical,Restaurants
DOV,Industrials,Specialty Industrial Machinery
DOW,Basic Materials,Chemicals
DHI,Consumer Cyclical,Residential Construction
DTE,Utilities,Utilities - Regulated Electric
DUK,Utilities,Utilities - Regulated Electric
DD,Basic Materials,Specialty Chemicals
EMN,Basic Materials,Specialty Chemicals
ETN,Industrials,Specialty Industrial Machinery
EBAY,Consumer Cyclical,Internet Retail
ECL,Basic Materials,Specialty Chemicals
EIX,Utilities,Utilities - Regulated Electric
EW,Healthcare,Medical Devices
EA,Communication Services,Electronic Gaming & Multimedia
ELV,Healthcare,Healthcare Plans
EMR,Industrials,Specialty Industrial Machinery
ENPH,Technology,Solar
ETR,Utilities,Utilities - Regulated Electric
EOG,Energy,Oil & Gas E&P
EPAM,Technology,Information Technology Services
EQT,Energy,Oil & Gas E&P
EFX,Industrials,Consulting Services
EQIX,Real Estate,REIT - Specialty
EQR,Real Estate,REIT - Residential
ERIE,Financial Services,Insurance Brokers
ESS,Real Estate,REIT - Residential
EL,Consumer Defensive,Household & Personal Products
EG,Financial Services,Insurance - Reinsurance
EVRG,Utilities,Utilities - Regulated Electric
ES,Utilities,Utilities - Regulated Electric
EXC,Utilities,Utilities - Regulated Electric
EXPE,Consumer Cyclical,Travel Services
EXPD,Industrials,Integrated Freight & Logistics
EXR,Real Estate,REIT - Industrial
XOM,Energy,Oil & Gas Integrated
FFIV,Technology,Software - Infrastructure
FDS,Financial Services,Financial Data & Stock Exchanges
FICO,Technology,Software - Application
FAST,Industrials,Industrial Distribution
FRT,Real Estate,REIT - Retail
FDX,Industrials,Integrated Freight & Logistics
FIS,Technology,Information Technology Services
FITB,Financial Services,Banks - Regional
FSLR,Technology,Solar
FE,Utilities,Utilities - Regulated Electric
FI,Technology,Information Technology Services
FMC,Basic Materials,Agricultural Inputs
F,Consumer Cyclical,Auto Manufacturers
FTNT,Technology,Software - Infrastructure
FTV,Technology,Scientific & Technical Instruments
FOXA,Communication Services,Entertainment
FOX,Communication Services,Entertainment
BEN,Financial Services,Asset Management
FCX,Basic Materials,Copper
GRMN,Technology,Scientific & Technical Instruments
IT,Technology,Information Technology Services
GE,Industrials,Aerospace & Defense
GEHC,Healthcare,Health Information Services
GEV,Utilities,Utilities - Renewable
GEN,Technology,Software - Infrastructure
GNRC,Industrials,Specialty Industrial Machinery
GD,Industrials,Aerospace & Defense
GIS,Consumer Defensive,Packaged Foods
GM,Consumer Cyclical,Auto Manufacturers
GPC,Consumer Cyclical,Auto Parts
GILD,Healthcare,Drug Manufacturers - General
GPN,Industrials,Specialty Business Services
GL,Financial Services,Insurance - Life
GDDY,Technology,Software - Infrastructure
GS,Financial Services,Capital Markets
HAL,Energy,Oil & Gas Equipment & Services
HIG,Financial Services,Insurance - Property & Casualty
HAS,Consumer Cyclical,Leisure
HCA,Healthcare,Medical Care Facilities
DOC,Real Estate,REIT - Healthcare Facilities
HSIC,Healthcare,Medical Distribution
HSY,Consumer Defensive,Confectioners
HES,Energy,Oil & Gas E&P
HPE,Technology,Communication Equipment
HLT,Consumer Cyclical,Lodging
HOLX,Healthcare,Medical Instruments & Supplies
HD,Consumer Cyclical,Home Improvement Retail
HON,Industrials,Conglomerates
HRL,Consumer Defensive,Packaged Foods
HST,Real Estate,REIT - Hotel & Motel
HWM,Industrials,Aerospace & Defense
HPQ,Technology,Computer Hardware
HUBB,Industrials,Electrical Equipment & Parts
HUM,Healthcare,Healthcare Plans
HBAN,Financial Services,Banks - Regional
HII,Industrials,Aerospace & Defense
IBM,Technology,Information Technology Services
IEX,Industrials,Specialty Industrial Machinery
IDXX,Healthcare,Diagnostics & Research
ITW,Industrials,Specialty Industrial Machinery
INCY,Healthcare,Biotechnology
IR,Industrials,Specialty Industrial Machinery
PODD,Healthcare,Medical Devices
INTC,Technology,Semiconductors
ICE,Financial Services,Financial Data & Stock Exchanges
IFF,Basic Materials,Specialty Chemicals
IP,Consumer Cyclical,Packaging & Containers
IPG,Communication Services,Advertising Agencies
INTU,Technology,Software - Application
ISRG,Healthcare,Medical Instruments & Supplies
IVZ,Financial Services,Asset Management
INVH,Real Estate,REIT - Residential
IQV,Healthcare,Diagnostics & Research
IRM,Real Estate,REIT - Specialty
JBHT,Industrials,Integrated Freight & Logistics
JBL,Technology,Electronic Components
JKHY,Technology,Information Technology Services
J,Industrials,Engineering & Construction
JNJ,Healthcare,Drug Manufacturers - General
JCI,Industrials,Building Products & Equipment
JPM,Financial Services,Banks - Diversified
JNPR,Technology,Communication Equipment
K,Consumer Defensive,Packaged Foods
KVUE,Consumer Defensive,Household & Personal Products
KDP,Consumer Defensive,Beverages - Non-Alcoholic
KEY,Financial Services,Banks - Regional
KEYS,Technology,Scientific & Technical Instruments
KMB,Consumer Defensive,Household & Personal Products
KIM,Real Estate,REIT - Retail
KMI,Energy,Oil & Gas Midstream
KKR,Financial Services,Asset Management
KLAC,Technology,Semiconductor Equipment & Materials
KHC,Consumer Defensive,Packaged Foods
KR,Consumer Defensive,Grocery Stores
LHX,Industrials,Aerospace & Defense
LH,Healthcare,Diagnostics & Research
LRCX,Technology,Semiconductor Equipment & Materials
LW,Consumer Defensive,Packaged Foods
LVS,Consumer Cyclical,Resorts & Casinos
LDOS,Technology,Information Technology Services
LEN,Consumer Cyclical,Residential Construction
LII,Industrials,Building Products & Equipment
LLY,Healthcare,Drug Manufacturers - General
LIN,Basic Materials,Specialty Chemicals
LYV,Communication Services,Entertainment
LKQ,Consumer Cyclical,Auto Parts
LMT,Industrials,Aerospace & Defense
L,Financial Services,Insurance - Property & Casualty
LOW,Consumer Cyclical,Home Improvement Retail
LULU,Consumer Cyclical,Apparel Retail
LYB,Basic Materials,Specialty Chemicals
MTB,Financial Services,Banks - Regional
MPC,Energy,Oil & Gas Refining & Marketing
MKTX,Financial Services,Capital Markets
MAR,Consumer Cyclical,Lodging
MMC,Financial Services,Insurance Brokers
MLM,Basic Materials,Building Materials
MAS,Industrials,Building Products & Equipment
MA,Financial Services,Credit Services
MTCH,Communication Services,Internet Content & Information
MKC,Consumer Defensive,Packaged Foods
MCD,Consumer Cyclical,Restaurants
MCK,Healthcare,Medical Distribution
MDT,Healthcare,Medical Devices
MRK,Healthcare,Drug Manufacturers - General
META,Communication Services,Internet Content & Information
MET,Financial Services,Insurance - Life
MTD,Healthcare,Diagnostics & Research
MGM,Consumer Cyclical,Resorts & Casinos
MCHP,Technology,Semiconductors
MU,Technology,Semiconductors
MSFT,Technology,Software - Infrastructure
MAA,Real Estate,REIT - Residential
MRNA,Healthcare,Biotechnology
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
MOH,Healthcare,Healthcare Plans
TAP,Consumer Defensive,Beverages - Brewers
MDLZ,Consumer Defensive,Confectioners
MPWR,Technology,Semiconductors
MNST,Consumer Defensive,Beverages - Non-Alcoholic
MCO,Financial Services,Financial Data & Stock Exchanges
MS,Financial Services,Capital Markets
MOS,Basic Materials,Agricultural Inputs
MSI,Technology,Communication Equipment
MSCI,Financial Services,Financial Data & Stock Exchanges
NDAQ,Financial Services,Financial Data & Stock Exchanges
NTAP,Technology,Computer Hardware
NFLX,Communication Services,Entertainment
NEM,Basic Materials,Gold
NWSA,Communication Services,Entertainment
NWS,Communication Services,Entertainment
NEE,Utilities,Utilities - Regulated Electric
NKE,Consumer Cyclical,Footwear & Accessories
NI,Utilities,Utilities - Regulated Gas
NDSN,Industrials,Specialty Industrial Machinery
NSC,Industrials,Railroads
NTRS,Financial Services,Asset Management
NOC,Industrials,Aerospace & Defense
NCLH,Consumer Cyclical,Travel Services
NRG,Utilities,Utilities - Independent Power Producers
NUE,Basic Materials,Steel
NVDA,Technology,Semiconductors
NVR,Consumer Cyclical,Residential Construction
NXPI,Technology,Semiconductors
ORLY,Consumer Cyclical,Specialty Retail
OXY,Energy,Oil & Gas E&P
ODFL,Industrials,Trucking
OMC,Communication Services,Advertising Agencies
ON,Technology,Semiconductors
OKE,Energy,Oil & Gas Midstream
ORCL,Technology,Software - Infrastructure
OTIS,Industrials,Specialty Industrial Machinery
PCAR,Industrials,Farm & Heavy Construction Machinery
PKG,Consumer Cyclical,Packaging & Containers
PLTR,Technology,Software - Infrastructure
PANW,Technology,Software - Infrastructure
PARA,Communication Services,Entertainment
PH,Industrials,Specialty Industrial Machinery
PAYX,Technology,Software - Application
PAYC,Technology,Software - Application
PYPL,Financial Services,Credit Services
PNR,Industrials,Specialty Industrial Machinery
PEP,Consumer Defensive,Beverages - Non-Alcoholic
PFE,Healthcare,Drug Manufacturers - General
PCG,Utilities,Utilities - Regulated Electric
PM,Consumer Defensive,Tobacco
PSX,Energy,Oil & Gas Refining & Marketing
PNW,Utilities,Utilities - Regulated Electric
PNC,Financial Services,Banks - Regional
POOL,Industrials,Industrial Distribution
PPG,Basic Materials,Specialty Chemicals
PPL,Utilities,Utilities - Regulated Electric
PFG,Financial Services,Asset Management
PG,Consumer Defensive,Household & Personal Products
PGR,Financial Services,Insurance - Property & Casualty
PLD,Real Estate,REIT - Industrial
PRU,Financial Services,Insurance - Life
PEG,Utilities,Utilities - Regulated Electric
PTC,Technology,Software - Application
PSA,Real Estate,REIT - Industrial
PHM,Consumer Cyclical,Residential Construction
PWR,Industrials,Engineering & Construction
QCOM,Technology,Semiconductors
DGX,Healthcare,Diagnostics & Research
RL,Consumer Cyclical,Apparel Manufacturing
RJF,Financial Services,Asset Management
RTX,Industrials,Aerospace & Defense
O,Real Estate,REIT - Retail
REG,Real Estate,REIT - Retail
REGN,Healthcare,Biotechnology
RF,Financial Services,Banks - Regional
RSG,Industrials,Waste Management
RMD,Healthcare,Medical Instruments & Supplies
RVTY,Healthcare,Diagnostics & Research
ROK,Industrials,Specialty Industrial Machinery
ROL,Consumer Cyclical,Personal Services
ROP,Technology,Software - Application
ROST,Consumer Cyclical,Apparel Retail
RCL,Consumer Cyclical,Travel Services
SPGI,Financial Services,Financial Data & Stock Exchanges
CRM,Technology,Software - Application
SBAC,Real Estate,REIT - Specialty
SLB,Energy,Oil & Gas Equipment & Services
STX,Technology,Computer Hardware
SRE,Utilities,Utilities - Diversified
NOW,Technology,Software - Application
SHW,Basic Materials,Specialty Chemicals
SPG,Real Estate,REIT - Retail
SWKS,Technology,Semiconductors
SJM,Consumer Defensive,Packaged Foods
SW,Consumer Cyclical,Packaging & Containers
SNA,Industrials,Tools & Accessories
SOLV,Healthcare,Health Information Services
SO,Utilities,Utilities - Regulated Electric
LUV,Industrials,Airlines
SWK,Industrials,Tools & Accessories
SBUX,Consumer Cyclical,Restaurants
STT,Financial Services,Asset Management
STLD,Basic Materials,Steel
STE,Healthcare,Medical Devices
SYK,Healthcare,Medical Devices
SMCI,Technology,Computer Hardware
SYF,Financial Services,Credit Services
SNPS,Technology,Software - Infrastructure
SYY,Consumer Defensive,Food Distribution
TMUS,Communication Services,Telecom Services
TROW,Financial Services,Asset Management
TTWO,Communication Services,Electronic Gaming & Multimedia
TPR,Consumer Cyclical,Luxury Goods
TRGP,Energy,Oil & Gas Midstream
TGT,Consumer Defensive,Discount Stores
TEL,Technology,Electronic Components
TDY,Technology,Scientific & Technical Instruments
TFX,Healthcare,Medical Instruments & Supplies
TER,Technology,Semiconductor Equipment & Materials
TSLA,Consumer Cyclical,Auto Manufacturers
TXN,Technology,Semiconductors
TPL,Energy,Oil & Gas E&P
TXT,Industrials,Aerospace & Defense
TMO,Healthcare,Diagnostics & Research
TJX,Consumer Cyclical,Apparel Retail
TSCO,Consumer Cyclical,Specialty Retail
TT,Industrials,Building Products & Equipment
TDG,Industrials,Aerospace & Defense
TRV,Financial Services,Insurance - Property & Casualty
TRMB,Technology,Scientific & Technical Instruments
TFC,Financial Services,Banks - Regional
TYL,Technology,Software - Application
TSN,Consumer Defensive,Farm Products
USB,Financial Services,Banks - Regional
UBER,Technology,Software - Application
UDR,Real Estate,REIT - Residential
ULTA,Consumer Cyclical,Specialty Retail
UNP,Industrials,Railroads
UAL,Industrials,Airlines
UPS,Industrials,Integrated Freight & Logistics
URI,Industrials,Rental & Leasing Services
UNH,Healthcare,Healthcare Plans
UHS,Healthcare,Medical Care Facilities
VLO,Energy,Oil & Gas Refining & Marketing
VTR,Real Estate,REIT - Healthcare Facilities
VLTO,Industrials,Pollution & Treatment Controls
VRSN,Technology,Software - Infrastructure
VRSK,Industrials,Consulting Services
VZ,Communication Services,Telecom Services
VRTX,Healthcare,Biotechnology
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic
VICI,Real Estate,REIT - Diversified
V,Financial Services,Credit Services
VST,Utilities,Utilities - Independent Power Producers
VMC,Basic Materials,Building Materials
WRB,Financial Services,Insurance - Property & Casualty
GWW,Industrials,Industrial Distribution
WAB,Industrials,Railroads
WBA,Healthcare,Pharmaceutical Retailers
WMT,Consumer Defensive,Discount Stores
DIS,Communication Services,Entertainment
WBD,Communication Services,Entertainment
WM,Industrials,Waste Management
WAT,Healthcare,Diagnostics & Research
WEC,Utilities,Utilities - Regulated Electric
WFC,Financial Services,Banks - Diversified
WELL,Real Estate,REIT - Healthcare Facilities
WST,Healthcare,Medical Instruments & Supplies
WDC,Technology,Computer Hardware
WY,Real Estate,REIT - Specialty
WMB,Energy,Oil & Gas Midstream
WTW,Financial Services,Insurance Brokers
WDAY,Technology,Software - Application
WYNN,Consumer Cyclical,Resorts & Casinos
XEL,Utilities,Utilities - Regulated Electric
XYL,Industrials,Specialty Industrial Machinery
YUM,Consumer Cyclical,Restaurants
